dt	f	t	l	d
2014061309	020	022	47	13844
2014061311	020	020	21	1362
2014061311	020	020	13	1347
2014061311	020	020	13	1382
2014061311	094	059	21	3847
2014061311	052	052	27	3177
2014061311	020	013	26	2209
2014061311	020	013	25	2186
2014061311	059	059	28	5492
2014061311	013	009	11	1394
2014061311	013	009	11	1347
2014061312	037	003	17	3193
2014061312	009	009	12	1408
2014061312	059	094	15	2589
2014061312	009	003	16	1145
2014061312	009	003	17	1063
2014061313	003	052	22	2503
2014061313	003	052	19	2380
2014061313	026	026	28	3963
2014061313	052	056	14	1525
2014061313	052	056	8	1443
2014061313	022	033	58	7694
2014061313	056	001	99	7869
2014061313	056	001	99	7110
2014061314	033	058	26	5409
2014061314	001	059	1307	2282
2014061314	033	022	22	1735
2014061315	058	052	11	1968
2014061315	025	025	10	1106
2014061315	022	022	51	1445
2014061316	022	025	37	6705
2014061316	052	052	49	8243
2014061317	094	052	18	2401
2014061317	094	052	18	2344
2014061317	026	026	29	3379
2014061317	094	001	17	2284
2014061317	026	003	16	3173
2014061317	020	022	8	1517
2014061317	001	056	49	6495
2014061318	026	026	30	4759
2014061318	022	020	3	700
2014061318	020	022	24	4978
2014061318	003	001	79	9238
2014061318	003	001	77	8588
2014061318	003	022	116	4798
2014061318	052	058	28	3647
2014061318	052	058	26	3663
2014061319	009	010	4	512
2014061319	022	020	3	661
2014061319	010	026	50	4788
2014061319	058	058	26	4133
2014061319	052	058	19	1792
2014061319	052	058	19	1772
2014061319	001	052	9	1817
2014061319	052	052	29	5813
2014061319	058	058	17	2284
2014061319	058	058	16	2299
2014061320	058	058	1002	15198
2014061320	058	058	1002	14142
2014061320	052	058	11	1792
2014061320	052	058	11	1764
2014061320	052	001	13	1754
2014061320	058	058	6	185
2014061320	058	003	79	9525
2014061320	052	052	18	4580
2014061320	058	003	76	10044
2014061320	001	003	5	630
2014061320	026	052	28	6126
2014061320	026	010	19	2207
2014061321	010	010	10	1637
2014061321	052	052	23	4576
2014061322	037	022	27	2736
2014061403	026	022	16	2922
2014061410	037	022	4	1180
2014061412	009	001	60	4561
2014061412	022	033	48	7994
2014061413	020	020	50	4363
2014061413	003	058	37	4461
2014061413	022	013	38	3018
2014061413	094	020	272	18737
2014061413	010	010	52	6107
2014061414	094	094	152	14195
2014061414	020	020	26	5274
2014061414	094	094	144	14310
2014061414	094	094	126	13340
2014061414	020	037	58	7824
2014061414	022	020	31	2001
2014061414	022	020	10	700
2014061414	020	020	11	1325
2014061415	001	001	145	16848
2014061415	052	052	84	15625
2014061415	001	001	143	16895
2014061415	026	026	24	2331
2014061415	003	003	270	22114
2014061415	037	013	24	1545
2014061415	037	013	24	1647
2014061415	013	052	103	13742
2014061415	013	052	101	13959
2014061415	003	001	4	637
2014061415	037	022	7	1237
2014061415	094	033	16	3877
2014061415	022	033	41	1590
2014061415	001	003	20	1594
2014061415	010	010	29	2899
2014061415	094	094	173	15739
2014061416	013	037	30	1786
2014061416	052	052	168	17932
2014061416	013	037	25	2256
2014061416	033	052	22	4037
2014061416	094	052	21	1774
2014061416	094	094	126	14982
2014061416	001	001	6	1070
2014061416	052	094	81	13515
2014061417	001	010	12	2070
2014061417	037	026	41	2875
2014061417	010	013	192	24769
2014061417	026	052	27	5517
2014061417	059	094	28	4576
2014061417	059	094	28	4637
2014061417	013	001	58	11247
2014061417	001	003	5	716
2014061417	037	026	29	2787
2014061417	010	010	44	3277
2014061417	003	022	29	4778
2014061417	010	009	212	18273
2014061417	058	059	3	537
2014061417	010	009	210	17826
2014061417	059	058	27	7451
2014061417	020	052	43	6001
2014061417	094	022	108	20117
2014061417	020	052	39	6183
2014061417	056	026	251	12170
2014061417	037	013	120	13877
2014061417	037	013	119	13148
2014061417	052	059	10	2276
2014061417	094	094	25	1108
2014061417	094	094	25	1139
2014061417	026	037	104	9758
2014061417	026	037	99	9721
2014061417	020	052	121	20093
2014061417	058	094	22	2060
2014061417	013	037	54	6283
2014061417	058	058	20	5223
2014061418	058	001	154	25745
2014061418	026	009	119	11749
2014061418	052	052	143	9815
2014061418	094	020	49	9585
2014061418	094	094	28	2732
2014061418	094	052	13	1749
2014061418	020	094	257	24146
2014061418	058	058	92	8261
2014061418	052	058	21	4022
2014061418	052	058	20	4108
2014061418	026	037	31	4992
2014061418	020	020	12	1694
2014061418	022	033	132	16037
2014061418	052	052	107	17622
2014061418	001	001	44	5405
2014061418	052	094	16	953
2014061418	058	058	79	7655
2014061418	058	052	28	2681
2014061418	009	056	143	20368
2014061418	094	009	45	3698
2014061418	094	003	19	2470
2014061418	094	003	19	2393
2014061418	094	003	18	2407
2014061418	033	052	21	4055
2014061418	037	094	155	10885
2014061418	010	009	142	8270
2014061419	026	009	235	16793
2014061419	003	013	24	2295
2014061419	003	013	23	2264
2014061419	003	013	23	2303
2014061419	033	033	13	424
2014061419	025	025	198	11480
2014061419	052	033	119	22096
2014061419	058	058	32	2289
2014061419	025	025	191	12023
2014061419	094	094	334	43165
2014061419	009	033	27	6240
2014061419	020	009	16	3397
2014061419	025	025	57	3540
2014061419	033	033	30	3755
2014061419	020	020	20	1809
2014061419	052	052	22	3030
2014061419	009	058	86	8116
2014061419	009	058	86	7965
2014061419	052	052	21	2926
2014061419	059	059	22	2787
2014061419	009	033	76	10710
2014061419	020	020	15	1388
2014061420	022	020	101	10945
2014061420	059	059	30	3169
2014061420	013	037	11	1584
2014061420	013	037	11	1594
2014061420	013	037	11	1600
2014061420	001	056	114	9139
2014061420	001	056	113	9554
2014061420	037	020	6	600
2014061420	037	020	5	633
2014061420	037	020	4	620
2014061420	059	059	74	9407
2014061420	059	058	10	545
2014061420	059	059	67	8364
2014061420	059	058	107	13589
2014061420	058	059	29	3399
2014061420	009	094	108	10659
2014061420	025	033	9	839
2014061420	033	001	93	8915
2014061421	010	003	19	3822
2014061421	003	094	89	9468
2014061421	052	059	59	7982
2014061421	052	059	59	8031
2014061421	052	059	59	7992
2014061421	013	013	25	3301
2014061421	013	013	24	3622
2014061421	058	058	29	1717
2014061421	020	026	26	5425
2014061421	059	058	64	9636
2014061421	033	022	24	1641
2014061421	020	025	68	7345
2014061421	056	056	70	8833
2014061421	020	025	60	7336
2014061421	001	026	30	3591
2014061421	056	056	62	8946
2014061421	058	056	73	11721
2014061421	058	056	71	11686
2014061421	009	010	23	2313
2014061422	037	037	23	4378
2014061422	001	001	5	130
2014061422	013	009	61	3649
2014061422	052	052	20	2005
2014061422	001	056	24	3630
2014061422	058	001	28	3520
2014061422	058	001	27	3520
2014061422	058	001	27	3534
2014061422	052	009	43	3887
2014061422	001	056	20	3424
2014061422	052	022	25	4712
2014061422	001	056	17	3495
2014061422	013	033	30	4373
2014061422	022	022	22	526
2014061422	058	058	103	10236
2014061422	037	037	11	1108
2014061422	058	058	100	10361
2014061422	052	094	6	653
2014061422	056	059	52	5462
2014061422	056	059	52	5374
2014061422	056	059	52	5593
2014061422	020	058	61	8417
2014061422	037	037	5	735
2014061423	009	059	93	11698
2014061423	059	059	85	9515
2014061423	059	059	87	8815
2014061423	059	059	85	8899
2014061423	094	001	13	1986
2014061500	001	003	28	3393
2014061500	058	001	29	4649
2014061500	001	001	21	3634
2014061500	003	009	13	894
2014061500	009	009	23	2822
2014061501	059	058	8	543
2014061501	009	094	29	3824
2014061502	059	059	23	4745
2014061502	001	001	5	1155
2014061502	009	003	35	4584
2014061503	003	056	26	4425
2014061504	010	009	18	2858
2014061504	094	003	25	3479
2014061504	009	009	148	14543
2014061507	094	052	48	731
2014061507	009	010	12	1954
2014061507	094	094	184	17949
2014061507	010	009	3	541
2014061508	052	094	166	17254
2014061509	020	025	8	1494
2014061509	026	013	29	1112
